0,1,2,3,4,5,6,7,8
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201002,Cycles,"Manufacturers and distributors of bicycles and 
tricycles"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201003,Consumer Electronics,"Manufacturers and distributor of consumer 
electronics like television, video cassette recorder, 
DVD player, audio equipments, games etc."
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201018,"Furniture, Home 
Furnishing","Manufacturer/ distributor of furniture, carpets, 
curtains and other home furnishing products"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201019,Ceramics,Manufacturer/ distributor of floor and wall tiles
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201020,Granites & Marbles,Manufacturer/ distributor of granites and marbles
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201005,"Gems, Jewellery And 
Watches","Manufacturers and distributor of gems, jewellery, 
watches and other luxury goods and accessories 
including companies engaged into cutting & 
polishing diamonds"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201006,Glass - Consumer,"Manufacturers and distributor of consumer glass 
products"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201007,Household Appliances,"Manufacturers of electric household appliances like 
air conditioners, juicers, food processors, 
microwave ovens etc."
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201008,Houseware,"Manufacturers and distributors of other household 
durable products like cookware, cutlery, utensils 
and consumer specialties not classified otherwise"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201009,"Leather And Leather 
Products","Manufacturers and distributors of leather products 
such as belt, leather bags, all types of footwear etc."
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201010,Leisure Products,"Manufacturers of leisure products and equipment 
including sports equipment, gift articles, toys, 
games etc."
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201011,"Plastic Products - 
Consumer","Manufacturers and distributor of plastic products 
used in households such as suitcase, briefcase and 
other consumer plastic products not covered under 
'Houseware' above"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201012,"Plywood Boards/ 
Laminates","Manufacturers and distributor of plywood, 
laminates etc."
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201013,Sanitary Ware,"Manufacturer of sanitary ware like ceramic 
plumbing fixtures (as sinks, lavatories, or toilet 
bowls)"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201015,Paints,"Manufacturers and distributors of interior and 
exterior paints"
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201016,"Diversified consumer 
products",Any other consumer products not covered above
IN02,Consumer Discretionary IN0202,,Consumer Durables,IN020201,Consumer Durables,IN020201017,Footwear,"Companies engaged in manufacturing, trading and 
distribution of all types of footwear and related 
accessories"
IN02,Consumer Discretionary IN0203,,Textiles,IN020301,Textiles & Apparels,IN020301001,Garments & Apparels,"Manufacturers & distributors of apparels/ 
garments, knitwears, innerwears etc."
IN02,Consumer Discretionary IN0203,,Textiles,IN020301,Textiles & Apparels,IN020301002,Other Textile Products,"Manufacturers & distributors of textiles, fabrics, 
yarn, silk yarn, blended and texturized yarn and 
related products.  Includes spinning of cotton/ 
synthetic/ other yarn and companies engaged in 
cotton ginning operations"
IN02,Consumer Discretionary IN0203,,Textiles,IN020301,Textiles & Apparels,IN020301003,Trading - Textile Products,"Trading and Distribution of 'garments & apparels' 
and 'other textile products' where a revenue from 
each segment can not be determined separately"
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020401,Media,IN020401001,"Advertising & Media 
Agencies","Companies providing advertising, public relations 
and marketing services. It also includes billboard 
providers and telemarketers."
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020401,Media,IN020401002,Electronic Media,"Publisher of newspapers, magazines and other 
periodicals through electronic medium"
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020401,Media,IN020401003,"Web based media and 
service","Companies engaged in providing social media, 
search engines, platforms for networking etc. 
Excludes companies operating in online shopping 
classified under E-Retail/ E-Commerce and 
companies providing online directory of suppliers 
and potential buyers for various products/ 
merchandise classified under Internet & Catalogue 
Retail"
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020401,Media,IN020401004,Print Media,"Publisher of newspapers, magazines and other 
periodicals through print medium"
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020402,Entertainment,IN020402001,"Film Production, 
Distribution & Exhibition","Producers and distributors of movies. Includes 
theatres and auditoriums"
